"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Mar 13 17:55:32 MSK 2021","Sat Mar 13 17:55:35 MSK 2021","2976","","test_product_page","TestUserAddToBasketFromProductPage","","","test_user_can_add_product_to_basket",""
"passed","Sat Mar 13 17:55:09 MSK 2021","Sat Mar 13 17:55:20 MSK 2021","11496","","test_product_page","TestUserAddToBasketFromProductPage","","","test_user_cant_see_success_message",""
"skipped","Sat Mar 13 17:53:46 MSK 2021","Sat Mar 13 17:53:48 MSK 2021","2763","","test_product_page","TestGuestAddToBasketFromProductPage","","","test_guest_can_add_product_to_basket[http://selenium1py.pythonanywhere.com/catalogue/coders-at-work_207/?promo=offer7]",""
"passed","Sat Mar 13 17:52:40 MSK 2021","Sat Mar 13 17:52:42 MSK 2021","1574","","test_main_page","TestLoginFromMainPage","","","test_guest_should_see_login_link",""
"passed","Sat Mar 13 17:54:36 MSK 2021","Sat Mar 13 17:54:38 MSK 2021","1522","","test_product_page","TestGuestAddToBasketFromProductPage","","","test_guest_should_see_login_link_on_product_page",""
"passed","Sat Mar 13 17:53:02 MSK 2021","Sat Mar 13 17:53:04 MSK 2021","2312","","test_product_page","TestGuestAddToBasketFromProductPage","","","test_guest_can_add_product_to_basket[http://selenium1py.pythonanywhere.com/catalogue/coders-at-work_207/?promo=offer0]",""
"passed","Sat Mar 13 17:52:46 MSK 2021","Sat Mar 13 17:52:58 MSK 2021","12533","","test_main_page","TestSeeProductFromMainPage","","","test_guest_cant_see_product_in_basket_opened_from_main_page",""
"passed","Sat Mar 13 17:53:34 MSK 2021","Sat Mar 13 17:53:36 MSK 2021","2408","","test_product_page","TestGuestAddToBasketFromProductPage","","","test_guest_can_add_product_to_basket[http://selenium1py.pythonanywhere.com/catalogue/coders-at-work_207/?promo=offer5]",""
"passed","Sat Mar 13 17:53:21 MSK 2021","Sat Mar 13 17:53:24 MSK 2021","2326","","test_product_page","TestGuestAddToBasketFromProductPage","","","test_guest_can_add_product_to_basket[http://selenium1py.pythonanywhere.com/catalogue/coders-at-work_207/?promo=offer3]",""
"passed","Sat Mar 13 17:53:58 MSK 2021","Sat Mar 13 17:54:01 MSK 2021","2551","","test_product_page","TestGuestAddToBasketFromProductPage","","","test_guest_can_add_product_to_basket[http://selenium1py.pythonanywhere.com/catalogue/coders-at-work_207/?promo=offer9]",""
"passed","Sat Mar 13 17:52:35 MSK 2021","Sat Mar 13 17:52:37 MSK 2021","1947","","test_main_page","TestLoginFromMainPage","","","test_guest_can_go_to_login_page",""
"passed","Sat Mar 13 17:53:15 MSK 2021","Sat Mar 13 17:53:18 MSK 2021","2623","","test_product_page","TestGuestAddToBasketFromProductPage","","","test_guest_can_add_product_to_basket[http://selenium1py.pythonanywhere.com/catalogue/coders-at-work_207/?promo=offer2]",""
"passed","Sat Mar 13 17:53:08 MSK 2021","Sat Mar 13 17:53:11 MSK 2021","3369","","test_product_page","TestGuestAddToBasketFromProductPage","","","test_guest_can_add_product_to_basket[http://selenium1py.pythonanywhere.com/catalogue/coders-at-work_207/?promo=offer1]",""
"skipped","Sat Mar 13 17:54:05 MSK 2021","Sat Mar 13 17:54:07 MSK 2021","2459","","test_product_page","TestGuestAddToBasketFromProductPage","","","test_guest_cant_see_success_message_after_adding_product_to_basket",""
"passed","Sat Mar 13 17:54:47 MSK 2021","Sat Mar 13 17:54:59 MSK 2021","12320","","test_product_page","TestGuestAddToBasketFromProductPage","","","test_guest_cant_see_product_in_basket_opened_from_product_page",""
"passed","Sat Mar 13 17:53:52 MSK 2021","Sat Mar 13 17:53:55 MSK 2021","2634","","test_product_page","TestGuestAddToBasketFromProductPage","","","test_guest_can_add_product_to_basket[http://selenium1py.pythonanywhere.com/catalogue/coders-at-work_207/?promo=offer8]",""
"passed","Sat Mar 13 17:53:27 MSK 2021","Sat Mar 13 17:53:30 MSK 2021","2272","","test_product_page","TestGuestAddToBasketFromProductPage","","","test_guest_can_add_product_to_basket[http://selenium1py.pythonanywhere.com/catalogue/coders-at-work_207/?promo=offer4]",""
"passed","Sat Mar 13 17:54:11 MSK 2021","Sat Mar 13 17:54:23 MSK 2021","11844","","test_product_page","TestGuestAddToBasketFromProductPage","","","test_guest_cant_see_success_message",""
"passed","Sat Mar 13 17:54:42 MSK 2021","Sat Mar 13 17:54:43 MSK 2021","1715","","test_product_page","TestGuestAddToBasketFromProductPage","","","test_guest_can_go_to_login_page_from_product_page",""
"passed","Sat Mar 13 17:53:40 MSK 2021","Sat Mar 13 17:53:42 MSK 2021","2307","","test_product_page","TestGuestAddToBasketFromProductPage","","","test_guest_can_add_product_to_basket[http://selenium1py.pythonanywhere.com/catalogue/coders-at-work_207/?promo=offer6]",""
"skipped","Sat Mar 13 17:54:26 MSK 2021","Sat Mar 13 17:54:33 MSK 2021","6206","","test_product_page","TestGuestAddToBasketFromProductPage","","","test_message_disappeared_after_adding_product_to_basket",""
